indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,6,2,1,2,0,0,,staged,2
gov.policy--broadband-strategy,gov.policy,2,6,1,1,2,0,0,,staged,2
gov.policy--data-storage-cloud-strategy,gov.policy,2,6,1,1,2,0,1,already-seen,staged,2
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,6,1,1,1,0,1,already-seen,staged,2
gov.policy--data-localisation-policies,gov.policy,2,6,2,1,1,0,1,already-seen,staged,2
gov.policy--data-governance-policy,gov.policy,2,6,2,1,1,0,1,already-seen,staged,2
gov.policy--open-data-policy,gov.policy,2,5,1,1,1,0,0,,staged,2
finance.mou--strategic-relationships,finance.mou,2,6,2,1,1,0,1,already-seen,staged,0
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,4,2,1,2,0,0,,staged,1
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,5,2,1,1,0,1,already-seen,staged,1
gov.legislate--cybersecurity-legislation,gov.legislate,2,6,2,0,2,0,1,already-seen,staged,3
gov.legislate--legislation-covering-digital-id,gov.legislate,2,9,2,1,1,0,2,already-seen,staged,3
gov.legislate--digital-payments-legislation,gov.legislate,2,7,2,1,2,0,1,already-seen,staged,3
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,6,1,1,2,0,2,already-seen,staged,3
gov.legislate--statistics-legislation,gov.legislate,2,4,3,1,2,0,0,,staged,3
gov.legislate--access-to-information-legislation,gov.legislate,2,4,2,1,0,1,0,,staged,3
gov.regional--regional-policy-collaboration,gov.regional,2,6,3,1,2,0,0,,staged,2
gov.regional--shared-regional-infrastructure,gov.regional,2,9,3,1,2,0,0,,staged,2
gov.regional--cross-border-data-transfers,gov.regional,2,5,2,1,2,0,0,,staged,2
gov.standards--national-interoperability-standards,gov.standards,2,10,3,1,2,0,1,already-seen,staged,0
gov.standards--national-quality-standards,gov.standards,2,5,3,1,2,0,0,,staged,0
gov.standards--adoption-of-international-standards,gov.standards,2,7,2,1,2,0,1,duplicate-in-run,staged,0
infra.connect--internet-usage,infra.connect,2,4,2,1,1,0,3,"fetch-blocked, already-seen",staged,8
infra.connect--mobile-affordability,infra.connect,2,4,3,1,2,0,0,,staged,8
infra.store--off-site-backup-capacity,infra.store,2,5,3,1,2,0,0,,staged,3
infra.energy--grid-reliability,infra.energy,2,4,3,1,2,0,1,inadmissible-origin,staged,1
infra.energy--rural-electrification,infra.energy,2,4,3,1,2,0,0,,staged,1
infra.capacity--robustness-of-government-hardware-and-software,infra.capacity,2,4,1,1,0,0,3,"already-seen, out-of-window",staged,0
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,5,3,1,2,0,2,already-seen,staged,0
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,5,3,1,2,0,1,already-seen,staged,3
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,10,2,1,2,0,1,already-seen,staged,3
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,6,3,1,2,0,0,,staged,3
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,4,0,1,2,0,0,,staged,3
dpi.id--registration-of-entire-population,dpi.id,2,6,1,1,2,0,0,,staged,2
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,5,1,1,1,0,2,already-seen,staged,2
dpi.id--digital-id-from-birth,dpi.id,2,6,1,1,2,0,0,,staged,2
